Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group_,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Gang,Gang_Ideology,Gang_Age_Joined,Gang_Radicalize,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing
4474,Tennessee,Knoxville,,,2/22/1983,-88,,,-88,-88,-88,-88,-88,0,1,10,1,0,3,2,Ku Klux Klan,,,-99,-99,,,-99,-99,0,-99,-99,-99,-99,-88,-99,0,1,0,0,2,,,Florida,-99,,,1,-99,-99,10,5,-99,-99,-99,,,,-99,-99,-99,-99,-99,2,28,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,336,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,4,2,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
4477,North Carolina,-99,North Carolina,,9/25/1985,-88,,,-88,-88,-88,-88,-88,0,0,6,1,3,3,2,Ku Klux Klan,,,1,1,,,-99,0,2,-99,-99,-99,-99,-88,-99,0,1,0,0,2,,,North Carolina,-99,,,-99,0,-99,9,5,-99,-99,0,,,,-99,-99,-99,-99,-99,2,38,2,-99,-99,0,-99,-99,-99,-99,-99,United States of America,0,United States of America,-99,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,2,3,-99,2,-99,3,3,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,0,1,1,0
4479,California,Oroville,,,9/30/1982,14,,,-99,-99,-99,1,-88,5,1,10,1,3,5,3,-88,,,0,-88,,,-99,-99,2,48,-99,-99,-99,-88,-99,0,1,0,0,2,,,California,Oroville,,,1,0,1,10,5,1,-99,-99,,,,1,0,0,-99,0,2,41,3,1,10,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,492,0,-88,-88,-88,-99,0,-88,2,-88,2,-99,0,-99,0,-99,2,0,1,,,2,1,-99,-99,0,-99,-99,-99,1,1,-99,-99,-99,1,-99,1,-99,,,-99,3,0,-88,-88,-88,-99,-99,-99,-99,-99
4480,Delaware,Woodland Heights ,,,5/1/1981,-88,,,-88,-88,-88,-88,-88,0,0,5,0,3,-99,2,Ku Klux Klan,,,-99,-99,,,-99,0,2,-99,0,0,-88,-88,-99,0,1,0,0,2,,,Delaware,Woodland Heights,,,-99,0,-99,6,4,-99,-99,-99,,,,-99,-99,-99,-99,-99,2,26,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,312,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-99,,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
4482,North Carolina,Charlotte,,,9/5/1977,14,,,0,-99,0,3,-88,5,1,10,-88,-88,6,0,-88,,,-99,-99,,,1,-88,-88,-88,0,0,-88,-88,0,0,1,0,0,2,,,North Carolina,Charlotte,,,0,0,0,10,5,0,0,0,,,,0,0,0,-99,0,2,17,1,0,-88,1,-99,0,-88,0,-88,United States of America,0,United States of America,204,0,-88,-88,-88,2,1,-99,-99,-99,-88,0,0,-99,-88,0,0,-88,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,,,0,0,0,-88,-88,-88,-99,-99,1,1,-99
4486,Florida,Petersburg,,,11/22/1970,3,,,1,-99,0,1,-88,4,1,10,1,-99,-99,0,-88,,,0,-88,,,-99,-88,-88,-88,0,0,-88,-88,0,0,1,0,0,4,,,Florida,-99,,,0,0,-99,10,5,0,0,-99,,,,-99,1,1,-99,-99,2,21,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,-99,0,-88,-88,-88,-99,0,-88,-99,-99,-99,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,0,1,1,-99
4489,Minnesota,Minneapolis,,,1/1/1970,1,,,1,0,0,1,-88,5,1,10,1,3,5,2,Black Panther Party,,,0,-88,,,1,-99,1,-99,0,0,-88,-88,-99,0,0,1,0,8,,,Minnesota,-99,,,0,0,-99,10,5,0,0,-99,,,,-99,-99,0,-99,-99,1,15,1,0,-88,1,-99,0,-88,0,-88,United States of America,0,United States of America,-99,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,0,0,-99,-88,0,0,0,-88,,,0,0,0,0,1,0,0,0,0,0,0,0,0,-99,-99,0,5,,,0,-99,0,-88,-88,-88,-99,-99,1,1,-99
4490,Maryland,Riesterstown,,,8/26/1970,1,,,2,1,0,-99,-88,5,0,9,1,3,3,0,-88,,,-99,-99,,,-99,-88,-88,-88,1,-99,-99,-88,-99,0,0,1,0,7,,,Maryland,Reisterstown,,,1,0,-99,9,4,1,0,2,,,,-99,-99,-99,-99,-99,-99,19,1,0,-88,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,228,0,-88,-88,-88,4,1,-99,4,-99,-88,-99,0,1,1,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,0,0,1,1,-99
4491,Maryland,Reistertown,,,8/20/1970,1,,,2,2,0,0,-88,4,0,9,1,3,-99,0,-88,,,0,-88,,,-99,-88,-88,-88,0,0,-88,-88,-99,0,0,1,0,7,,,-99,-99,,,-99,-99,-99,9,-99,1,0,2,,,,-99,-99,-99,-99,-99,-99,20,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,-99,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
4492,Mississippi,West Point,,,8/15/1970,14,,,-99,-99,-99,1,-88,5,1,10,1,3,4,0,-88,,,-99,-99,,,-99,-88,-88,-88,-99,-99,-99,-88,-99,0,1,0,0,2,,,-99,-99,,,-99,-99,-99,10,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,United States of America,0,United States of America,-99,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
